,,,E16.5#14-51-2,E16.5#14-51-4,E16.5#14-51-9,E18.5 # 1,E18.5 # 2,E18.5 # 3,P0.5 A,P0.5 B,P0.5 C,P1 d,P1 h,P1 i ,P1.5 c,P1.5 d,P1.5 g,P2.5 c,P2.5 g,P2.5 j,P4 a,P4 b,P4 f,P5 a,P5 b,P5 f,P7 a,P7 b,P7 c,P10 d,P10 e,P10 f,P13.5 a,P13.5 b,P13.5 c,P15 a,P15 b,P15 c,P19 c,P19 e,P19 f,P23 d,P23 e,P23 f ,P28c,P28d,P28e
Nascent polypeptide-associated complex subunit alpha/ muscle-specific form ,P70670,220 kDa,14.78,26.50,18.06,11.89,21.93,19.76,19.75,14.95,12.52,18.08,16.84,16.06,15.78,14.93,19.75,18.86,14.27,16.74,19.71,20.72,24.31,22.68,18.53,19.72,19.96,14.06,18.77,15.93,11.87,12.73,15.59,13.56,18.48,16.41,11.74,33.07,16.44,14.04,12.97,13.79,16.53,14.01,10.13,9.66,2.17
Nestin ,Q6P5H2,207 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.77,11.73,5.67,0.00,1.64,0.95,2.48,0.99,3.54,0.85,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neuromodulin ,P06837,24 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.00,0.84,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.85,0.00,2.92,0.00,0.92,2.05,2.71,0.00,9.13,3.74,0.00,1.72,4.51,0.00,0.00,0.00,0.00
Neuroplastin ,P97300,44 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,1.65,0.99,0.00,1.70,0.00,0.97,1.81,0.00,2.05,0.90,0.00,3.65,5.62,0.00,0.86,0.00,0.00,3.12,1.21,0.00
Nexilin ,Q7TPW1,72 kDa,0.00,4.61,10.83,7.13,3.46,7.60,2.32,3.74,1.25,7.03,1.20,4.59,1.97,0.00,2.82,4.96,1.10,1.05,2.46,4.60,5.03,7.56,5.15,3.29,2.85,1.65,5.93,3.54,5.93,8.18,2.92,6.33,0.92,5.13,2.71,0.00,0.00,0.94,1.85,0.00,0.00,0.00,0.00,4.83,1.09
NHP2-like protein 1 ,E9PZS4,5 kDa,6.57,2.30,3.61,3.57,4.62,6.08,4.65,4.98,5.01,3.01,2.41,0.00,0.00,3.51,0.94,3.97,2.19,1.05,1.64,2.30,0.84,2.83,4.12,0.82,3.80,0.00,0.00,3.54,1.70,0.00,1.95,0.00,1.85,4.10,0.00,0.00,0.00,2.81,0.00,0.00,1.50,3.74,0.00,0.00,4.35
Nidogen-1 ,P10493,137 kDa,1.64,0.00,0.00,0.00,1.15,3.04,10.45,11.21,7.51,7.03,8.42,5.74,1.97,2.64,6.58,5.96,4.39,11.51,2.46,3.84,5.87,2.83,6.18,0.00,5.70,9.92,5.93,11.51,9.32,9.09,15.59,9.94,17.55,16.41,17.16,3.48,7.30,18.72,11.12,13.79,17.29,14.94,13.25,13.28,10.86
Nidogen-2 ,O88322,154 kDa,0.00,1.15,0.00,2.38,0.00,0.00,3.48,3.74,5.01,3.01,1.20,3.44,1.97,0.00,0.00,0.99,1.10,3.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00
Non-POU domain-containing octamer-binding protein ,Q99K48,55 kDa,13.14,42.63,25.28,41.61,46.17,36.48,17.42,18.68,17.53,2.01,12.03,8.03,0.00,37.77,23.51,16.87,19.75,16.74,27.92,19.18,10.90,18.90,9.27,34.51,6.65,14.88,27.66,9.74,36.45,14.54,9.74,11.75,12.01,3.08,8.13,0.00,10.04,3.74,7.41,0.00,15.03,0.00,0.78,0.00,0.00
Non-specific lipid-transfer protein ,P32020,59 kDa,9.85,1.15,12.64,9.51,26.55,13.68,15.10,23.66,16.28,14.06,26.47,29.82,24.65,25.48,37.62,21.84,23.05,20.93,27.92,35.30,21.79,23.62,21.62,27.93,20.91,21.50,13.83,19.47,25.43,19.09,20.46,24.41,19.40,16.41,17.16,12.18,23.74,14.98,23.17,14.65,19.54,18.68,14.81,28.98,38.02
NSFL1 cofactor p47 ,Q9CZ44,41 kDa,11.49,14.98,12.64,5.94,4.62,4.56,3.48,2.49,5.01,9.04,8.42,6.88,1.97,8.78,7.52,5.96,6.58,12.56,4.93,7.67,10.06,9.45,7.21,8.22,7.60,10.75,8.89,14.16,11.02,17.27,14.62,12.65,17.55,13.33,13.55,0.00,6.39,10.30,12.05,6.03,10.52,5.60,5.46,3.62,4.35
N-sulfoglucosamine sulfohydrolase ,Q9JHK6,57 kDa,0.00,0.00,0.00,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.97,2.71,3.70,0.00,0.90,0.00,0.00,0.00,3.71,0.00,0.00,0.00,0.00,0.00,0.00
Nuclear autoantigenic sperm protein ,Q99MD9,84 kDa,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nuclear inhibitor of protein phosphatase 1 ,Q8R3G1,39 kDa,4.93,0.00,0.00,0.00,4.62,0.00,1.16,1.25,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,1.10,0.00,3.28,2.30,0.00,0.94,0.00,4.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,1.87,0.00,0.00,2.25,0.00,0.00,0.00,0.00
Nuclear migration protein nudC ,O35685,38 kDa,6.57,4.61,0.00,5.94,4.62,0.00,3.48,0.00,3.76,4.02,4.81,2.29,5.92,0.88,1.88,0.00,7.68,0.00,0.82,4.60,2.51,2.83,4.12,3.29,2.85,1.65,3.95,4.43,5.93,3.64,5.85,4.52,0.92,1.03,1.81,0.00,1.83,7.49,3.71,4.31,0.75,3.74,3.12,6.04,6.52
Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 ,Q80XU3,26 kDa,4.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,6.03,0.00,0.00,1.97,0.00,2.82,0.00,2.19,0.00,0.00,3.84,3.35,0.94,6.18,0.00,2.85,4.96,0.00,0.00,0.00,0.00,0.97,0.00,0.00,2.05,0.90,1.74,0.00,0.00,0.00,4.31,0.75,1.87,1.56,2.42,1.09
Nucleobindin-1 ,Q02819,53 kDa,9.85,4.61,0.00,8.32,0.00,0.00,19.75,6.23,18.78,13.06,18.05,18.35,6.90,6.15,9.40,15.88,9.88,7.32,6.57,11.51,19.28,10.39,18.53,9.04,19.01,13.23,6.91,20.36,9.32,15.45,15.59,13.56,11.09,17.43,13.55,0.00,9.13,12.17,13.90,12.07,14.28,14.01,7.02,19.32,14.12
Nucleobindin-2 ,P81117,50 kDa,0.00,0.00,0.00,3.57,1.15,0.00,0.00,3.74,10.02,0.00,2.41,2.29,0.99,0.00,3.76,3.97,2.19,0.00,1.64,3.84,2.51,4.72,4.12,3.29,3.80,6.62,2.96,2.66,3.39,3.64,5.85,3.62,5.54,7.18,5.42,0.00,6.39,4.68,2.78,5.17,3.01,3.74,3.12,0.00,2.17
Nucleolar protein 3 (Apoptosis repressor with CARD domain) ,Q8R2S3 (+1),25 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,1.50,0.00,3.12,0.00,0.00
Nucleolin ,P09405,77 kDa,57.47,38.02,45.14,41.61,38.09,34.96,39.49,54.80,51.34,26.11,34.89,44.73,36.49,41.29,40.44,39.70,40.60,38.71,45.16,33.76,43.58,38.74,40.16,35.33,20.91,36.38,31.61,23.01,28.82,28.18,31.18,28.92,25.87,22.56,19.87,48.74,20.09,27.15,25.95,21.55,24.05,24.29,29.62,19.32,30.42
Nucleolysin TIAR ,P70318,43 kDa,0.00,0.00,0.00,0.00,1.15,0.00,1.16,0.00,0.00,0.00,2.41,2.29,1.97,1.76,0.00,0.00,2.19,0.00,0.00,0.77,3.35,0.00,0.00,0.00,0.00,0.00,0.00,0.89,1.70,2.73,0.97,0.90,0.00,1.03,0.90,0.00,0.00,0.00,0.93,0.86,0.75,0.00,0.00,0.00,0.00
Nucleophosmin ,Q61937,33 kDa,24.63,14.98,10.83,19.02,19.62,15.20,15.10,13.70,17.53,16.07,15.64,12.62,18.74,15.81,15.99,14.89,8.78,20.93,16.42,20.72,20.12,15.12,14.42,12.32,17.11,23.98,16.79,10.62,10.17,10.91,8.77,7.23,7.39,8.20,8.13,13.92,7.30,13.11,9.27,8.62,8.27,9.34,12.47,9.66,5.43
Nucleoporin SEH1 ,Q8R2U0,40 kDa,4.93,2.30,7.22,3.57,9.23,0.00,4.65,3.74,5.01,0.00,2.41,2.29,0.99,4.39,1.88,3.97,3.29,0.00,6.57,1.53,2.51,0.00,1.03,4.93,0.00,0.83,3.95,0.00,0.85,1.82,0.00,0.90,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nucleoside diphosphate kinase B ,Q01768,17 kDa,13.14,6.91,3.61,8.32,3.46,1.52,10.45,3.74,5.01,9.04,10.83,14.91,13.81,9.66,5.64,9.93,8.78,4.19,6.57,4.60,11.73,7.56,6.18,9.86,7.60,15.71,7.90,7.08,3.39,5.45,8.77,4.52,2.77,8.20,7.22,6.96,6.39,2.81,4.63,3.45,3.01,3.74,4.68,10.87,10.86
Nucleosome assembly protein 1-like 1 ,P28656,45 kDa,0.00,0.00,0.00,0.00,1.15,0.00,0.00,1.25,2.50,2.01,1.20,2.29,1.97,0.88,0.94,4.96,1.10,0.00,4.11,0.00,1.68,3.78,4.12,3.29,2.85,1.65,2.96,3.54,1.70,1.82,1.95,2.71,1.85,3.08,1.81,0.00,0.91,3.74,1.85,3.45,3.01,0.93,3.12,0.00,0.00
Nucleosome assembly protein 1-like 4 ,Q78ZA7,43 kDa,3.28,0.00,0.00,0.00,4.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.97,0.00,0.94,0.00,0.00,0.00,0.00,1.53,0.00,0.00,1.03,0.82,1.90,0.00,2.96,0.89,0.00,0.00,2.92,3.62,1.85,2.05,0.90,0.00,0.00,3.74,3.71,1.72,3.01,2.80,3.12,1.21,1.09
Obg-like ATPase 1 ,Q9CZ30,45 kDa,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,3.84,0.84,0.00,4.12,4.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ornithine aminotransferase/ mitochondrial ,P29758,48 kDa,1.64,1.15,0.00,1.19,0.00,0.00,2.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.82,0.00,0.00,0.00,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.77,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Osteoclast-stimulating factor 1 ,Q62422,24 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,0.84,6.61,0.00,2.46,0.00,0.83,1.98,1.77,0.00,0.00,0.97,0.90,0.00,0.00,3.61,0.00,0.91,3.74,0.93,0.86,3.76,0.00,0.78,0.00,0.00
Otoferlin ,Q9ESF1,227 kDa,4.93,0.00,3.61,1.19,1.15,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,1.65,0.00,0.00,0.00,0.91,0.97,1.81,0.00,0.00,0.00,1.74,0.00,0.00,0.00,0.00,0.75,0.00,0.78,0.00,0.00
OX-2 membrane glycoprotein ,O54901 (+1),31 kDa,0.00,0.00,0.00,0.00,2.31,0.00,5.81,4.98,8.77,4.02,2.41,3.44,2.96,1.76,2.82,3.97,3.29,2.09,1.64,0.00,1.68,0.94,2.06,1.64,0.00,1.65,1.98,0.89,1.70,1.82,2.92,3.62,1.85,4.10,0.90,0.00,0.00,1.87,0.00,4.31,3.76,1.87,4.68,0.00,7.60
Palladin ,Q9ET54,152 kDa,3.28,0.00,5.42,3.57,2.31,3.04,12.78,14.95,12.52,8.04,2.41,5.74,2.96,7.91,8.46,14.89,10.97,12.56,5.75,14.58,15.93,17.01,12.36,18.07,9.50,21.50,18.77,16.82,22.04,18.18,23.39,10.85,12.93,10.26,18.06,0.00,4.57,8.43,17.61,3.45,12.78,7.47,5.46,0.00,0.00
Palmitoyl-protein thioesterase 1 ,O88531,34 kDa,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,3.76,0.00,1.10,1.05,0.00,0.77,0.00,0.00,0.00,0.82,0.00,0.83,5.93,0.00,1.70,0.00,1.95,0.00,1.85,0.00,0.90,0.00,1.83,0.00,0.93,0.00,2.25,0.00,2.34,2.42,0.00
Pantetheinase ,Q9Z0K8,57 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Papilin ,Q9EPX2,139 kDa,0.00,0.00,0.00,1.19,0.00,0.00,2.32,0.00,0.00,2.01,2.41,0.00,0.00,0.00,2.82,0.99,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00
Paraspeckle component 1 ,Q8R326,59 kDa,1.64,2.30,0.00,0.00,6.93,1.52,3.48,0.00,0.00,0.00,2.41,0.00,2.96,0.88,0.00,4.96,3.29,0.00,1.64,1.53,0.00,0.00,0.00,8.22,0.00,0.00,0.99,0.00,0.85,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00
Parathymosin ,Q9D0J8,11 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.02,0.00,0.00,0.00,0.88,1.88,0.00,5.49,5.23,0.00,1.53,5.03,0.00,4.12,0.00,0.95,3.31,1.98,0.89,5.93,1.82,4.87,0.00,0.00,3.08,2.71,26.11,2.74,0.00,2.78,1.72,0.00,3.74,1.56,4.83,6.52
Parkinson disease 7 domain-containing protein 1 ,Q8BFQ8,23 kDa,1.64,0.00,0.00,0.00,0.00,0.00,2.32,2.49,2.50,2.01,0.00,0.00,0.00,0.00,0.00,1.99,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,1.65,0.00,0.00,0.00,0.00,0.00,1.81,0.00,0.00,2.71,0.00,1.83,3.74,4.63,5.17,1.50,0.93,3.12,0.00,0.00
Partner of Y14 and mago ,Q8CHP5,23 kDa,0.00,3.46,10.83,1.19,1.15,3.04,8.13,2.49,7.51,0.00,1.20,4.59,1.97,0.88,3.76,4.96,3.29,5.23,3.28,0.77,3.35,0.94,0.00,4.93,0.00,0.83,1.98,1.77,9.32,2.73,5.85,3.62,0.92,1.03,1.81,0.00,2.74,0.94,0.93,0.00,1.50,4.67,3.12,0.00,0.00
PC4 and SFRS1-interacting protein ,Q99JF8,60 kDa,3.28,6.91,0.00,0.00,8.08,0.00,8.13,8.72,10.02,4.02,2.41,3.44,0.99,3.51,4.70,4.96,3.29,4.19,4.93,3.07,4.19,0.94,2.06,3.29,3.80,4.13,5.93,0.00,1.70,4.55,0.97,0.90,2.77,1.03,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PDZ and LIM domain protein 1 ,O70400,36 kDa,0.00,4.61,3.61,0.00,0.00,0.00,1.16,1.25,0.00,1.00,7.22,4.59,1.97,4.39,0.94,1.99,3.29,5.23,4.11,3.84,0.00,4.72,3.09,6.57,3.80,3.31,2.96,5.31,6.78,10.00,7.80,6.33,7.39,8.20,7.22,0.00,3.65,6.55,9.27,6.03,8.27,2.80,4.68,3.62,5.43
PDZ and LIM domain protein 2 ,Q8R1G6,38 kDa,0.00,0.00,0.00,0.00,1.15,6.08,0.00,3.74,5.01,7.03,7.22,4.59,0.00,1.76,4.70,4.96,0.00,5.23,2.46,4.60,4.19,5.67,5.15,4.93,3.80,3.31,1.98,4.43,4.24,9.09,7.80,6.33,8.31,6.15,6.32,0.00,0.91,3.74,0.93,1.72,1.50,4.67,1.56,0.00,2.17
PDZ and LIM domain protein 3 ,O70209,34 kDa,0.00,1.15,3.61,0.00,0.00,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.51,0.00,0.00,0.00,0.00,3.28,2.30,4.19,4.72,1.03,3.29,0.00,4.96,4.94,5.31,5.93,7.27,0.00,5.42,3.70,0.00,1.81,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PDZ and LIM domain protein 7 ,Q3TJD7,50 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.29,0.00,0.00,0.00,0.99,0.00,0.00,0.82,2.30,0.84,4.72,0.00,0.00,0.00,0.00,0.00,0.89,2.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Peptidoglycan recognition protein 1 ,O88593,20 kDa,0.00,0.00,0.00,0.00,0.00,0.00,5.81,1.25,2.50,4.02,6.02,6.88,5.92,1.76,5.64,2.98,3.29,4.19,0.82,1.53,0.00,1.89,0.00,3.29,0.95,5.79,1.98,3.54,2.54,3.64,0.00,0.00,0.92,0.00,3.61,0.00,0.00,0.00,0.00,3.45,2.25,0.00,3.12,0.00,2.17
Peptidyl-prolyl cis-trans isomerase A ,P17742,18 kDa,60.75,61.06,61.39,61.82,73.88,66.88,38.33,36.12,46.33,18.08,44.51,47.03,52.26,48.32,36.68,32.75,44.99,24.07,40.23,20.72,37.72,38.74,33.98,50.94,32.31,28.94,33.59,30.09,36.45,25.45,32.16,20.79,37.88,38.97,30.70,33.07,21.00,34.64,32.43,24.99,30.81,32.69,19.49,38.64,31.51
Peptidyl-prolyl cis-trans isomerase B ,P24369,24 kDa,27.91,35.72,39.72,28.53,35.78,36.48,20.91,27.40,27.55,14.06,24.06,19.50,19.72,19.33,14.11,10.92,18.66,12.56,22.99,21.49,20.95,20.79,23.68,23.00,14.26,11.58,29.64,19.47,40.68,31.82,22.41,20.79,22.17,19.49,28.90,10.44,13.70,16.85,13.90,14.65,22.55,14.94,16.37,20.53,19.56
Peptidyl-prolyl cis-trans isomerase C ,P30412,23 kDa,18.06,0.00,12.64,4.76,5.77,10.64,3.48,7.47,6.26,0.00,2.41,5.74,4.93,0.88,3.76,9.93,8.78,10.46,6.57,8.44,6.71,6.61,10.30,7.39,10.45,6.62,5.93,3.54,5.93,3.64,7.80,4.52,4.62,8.20,6.32,6.96,6.39,7.49,7.41,3.45,4.51,3.74,3.12,0.00,1.09
Peptidyl-prolyl cis-trans isomerase D ,Q9CR16,41 kDa,0.00,3.46,0.00,2.38,5.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Peptidyl-prolyl cis-trans isomerase F/ mitochondrial ,Q99KR7,22 kDa,4.93,8.06,0.00,2.38,1.15,6.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,1.88,0.99,0.00,0.00,2.46,1.53,0.00,0.94,0.00,1.64,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.90,0.00,0.00,1.81,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Peptidyl-prolyl cis-trans isomerase FKBP1A ,P26883,12 kDa,1.64,9.22,12.64,10.70,15.01,13.68,10.45,9.96,6.26,6.03,6.02,9.18,12.82,11.42,9.40,7.94,7.68,7.32,9.85,6.91,7.54,12.28,7.21,9.04,2.85,4.13,5.93,5.31,7.63,4.55,4.87,9.04,8.31,4.10,5.42,0.00,7.30,7.49,7.41,3.45,6.01,1.87,6.24,2.42,0.00
Peptidyl-prolyl cis-trans isomerase FKBP2 ,P45878,15 kDa,8.21,1.15,0.00,2.38,4.62,6.08,5.81,6.23,8.77,5.02,6.02,4.59,4.93,2.64,3.76,7.94,8.78,5.23,4.93,3.07,1.68,7.56,0.00,4.11,0.00,0.83,2.96,0.89,0.85,0.91,0.00,0.00,1.85,0.00,3.61,0.00,0.91,1.87,0.00,0.00,5.26,0.00,2.34,4.83,2.17
Peptidyl-prolyl cis-trans isomerase FKBP3 ,Q62446,25 kDa,22.99,16.13,30.70,17.83,19.62,28.88,17.42,17.44,21.29,18.08,21.66,17.21,16.76,17.57,17.87,17.87,17.56,18.83,7.39,5.37,13.41,17.95,18.53,15.61,8.55,13.23,9.88,15.05,11.02,10.91,8.77,11.75,12.93,5.13,11.74,0.00,3.65,4.68,6.49,3.45,3.76,5.60,3.90,2.42,9.78
Peptidyl-prolyl cis-trans isomerase FKBP4 ,P30416,52 kDa,0.00,5.76,0.00,2.38,1.15,1.52,1.16,0.00,2.50,0.00,0.00,1.15,1.97,0.00,0.94,0.00,0.00,0.00,0.82,0.77,0.00,1.89,2.06,0.00,0.00,0.00,0.00,5.31,0.00,0.00,2.92,0.00,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.86,0.75,0.00,0.00,1.21,1.09
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 ,Q9QUR7,18 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.19,1.89,1.03,0.82,3.80,0.00,0.00,0.00,0.00,0.91,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.94,1.85,0.00,1.50,0.00,2.34,0.00,0.00
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 ,Q9CWW6,14 kDa,0.00,1.15,0.00,2.38,2.31,1.52,1.16,0.00,0.00,0.00,0.00,0.00,1.97,0.88,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Peptidyl-prolyl cis-trans isomerase-like 1 ,Q9D0W5,18 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.88,0.00,0.00,0.00,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,2.25,0.00,3.90,0.00,0.00
Periaxin ,O55103,148 kDa,0.00,0.00,0.00,0.00,0.00,0.00,13.94,14.95,13.77,18.08,12.03,19.50,10.85,16.69,18.81,22.83,13.17,29.30,13.14,15.35,26.82,22.68,4.12,12.32,13.31,16.54,10.87,14.16,9.32,13.64,32.16,28.02,27.72,30.77,26.19,0.00,27.39,31.83,25.02,30.16,42.84,27.09,35.86,8.45,14.12
Perilipin-3 ,Q9DBG5,47 kDa,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.00,1.25,0.00,1.20,2.29,1.97,3.51,0.00,0.99,0.00,0.00,2.46,1.53,0.84,3.78,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Periostin ,Q62009,93 kDa,3.28,1.15,7.22,3.57,1.15,0.00,0.00,0.00,0.00,4.02,0.00,0.00,0.99,0.00,0.00,0.00,0.00,1.05,0.00,2.30,1.68,2.83,3.09,2.46,4.75,3.31,0.99,0.00,0.00,0.00,0.00,0.90,1.85,2.05,0.00,0.00,3.65,1.87,0.93,0.86,0.75,0.93,1.56,1.21,0.00
Peroxiredoxin 6 ,Q6GT24,25 kDa,0.00,5.76,0.00,3.57,6.93,0.00,5.81,6.23,2.50,7.03,3.61,4.59,5.92,2.64,1.88,3.97,3.29,0.00,1.64,4.60,7.54,5.67,10.30,2.46,9.50,1.65,1.98,1.77,0.85,4.55,8.77,9.04,6.47,5.13,9.93,0.00,3.65,2.81,6.49,9.48,7.52,10.27,17.15,12.08,11.95
Peroxiredoxin-1 ,P35700,22 kDa,36.12,11.52,36.11,41.61,30.01,33.44,32.52,33.63,42.57,35.15,38.50,33.26,31.56,24.60,27.27,34.74,34.02,41.85,23.81,31.46,18.44,26.46,29.86,25.47,27.56,16.54,46.43,26.55,36.45,28.18,37.03,37.06,30.49,26.66,32.51,27.85,9.13,21.53,16.68,26.72,21.04,30.82,19.49,30.19,33.68
Peroxiredoxin-2 ,Q61171,22 kDa,16.42,11.52,18.06,14.27,16.16,18.24,13.94,21.17,12.52,20.09,15.64,12.62,17.75,13.18,15.05,16.87,7.68,17.79,14.78,16.11,13.41,17.01,15.44,16.43,14.26,16.54,12.84,17.70,11.87,15.45,19.49,15.37,14.78,12.31,22.58,19.15,10.96,19.66,17.61,22.41,12.78,26.15,17.15,20.53,17.38
Peroxiredoxin-5/ mitochondrial ,P99029,22 kDa,3.28,8.06,7.22,10.70,12.70,22.80,10.45,14.95,18.78,14.06,20.45,22.94,18.74,11.42,10.35,18.86,14.27,16.74,6.57,9.21,20.12,23.62,23.68,10.68,18.06,8.27,6.91,17.70,10.17,15.45,20.46,14.46,24.02,17.43,16.25,3.48,11.87,13.11,12.05,12.93,20.29,14.94,15.59,18.11,22.81
Peroxisomal acyl-coenzyme A oxidase 1 ,Q9R0H0,75 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,3.29,0.00,0.00,2.96,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.25,0.00,0.00,0.00,0.00
